id,type,title,author,publisher,ISBN,series,rating,description,language,genre,releaseDate,available
1,Book,Book Title 1,Author 1,Publisher 1,"""978000000001""",Series 1,4.6,Description for book 1,English,Sci-Fi,2001-01-01,TRUE
2,Book,Book Title 2,Author 2,Publisher 2,9.78E+11,Series 2,3.5,Description for book 2,English,Fantasy,2002-01-01,TRUE
3,Book,Book Title 3,Author 3,Publisher 3,9.78E+11,Series 3,4,Description for book 3,English,Fiction,2003-01-01,TRUE
4,Book,Book Title 4,Author 4,Publisher 4,9.78E+11,Series 4,4.1,Description for book 4,English,Education,2004-01-01,FALSE
5,Book,Book Title 5,Author 5,Publisher 5,9.78E+11,Series 0,4,Description for book 5,English,Education,2005-01-01,TRUE
6,Book,Book Title 6,Author 6,Publisher 6,9.78E+11,Series 1,4.6,Description for book 6,English,Education,2006-01-01,TRUE
7,Book,Book Title 7,Author 7,Publisher 7,9.78E+11,Series 2,3.7,Description for book 7,English,Fiction,2007-01-01,TRUE
8,Book,Book Title 8,Author 8,Publisher 8,9.78E+11,Series 3,3.6,Description for book 8,English,Fiction,2008-01-01,FALSE
9,Book,Book Title 9,Author 9,Publisher 9,9.78E+11,Series 4,3.7,Description for book 9,English,Education,2009-01-01,TRUE
10,Book,Book Title 10,Author 10,Publisher 0,9.78E+11,Series 0,4.8,Description for book 10,English,Sci-Fi,2010-01-01,TRUE
11,Book,Book Title 11,Author 11,Publisher 1,9.78E+11,Series 1,4.9,Description for book 11,English,Fiction,2011-01-01,TRUE
12,Book,Book Title 12,Author 12,Publisher 2,9.78E+11,Series 2,4.2,Description for book 12,English,Fiction,2012-01-01,FALSE
13,Book,Book Title 13,Author 13,Publisher 3,9.78E+11,Series 3,4.8,Description for book 13,English,Fantasy,2013-01-01,TRUE
14,Book,Book Title 14,Author 14,Publisher 4,9.78E+11,Series 4,4.7,Description for book 14,English,Fantasy,2014-01-01,TRUE
15,Book,Book Title 15,Author 15,Publisher 5,9.78E+11,Series 0,4.6,Description for book 15,English,Fantasy,2015-01-01,TRUE
16,Book,Book Title 16,Author 16,Publisher 6,9.78E+11,Series 1,4.8,Description for book 16,English,Fantasy,2016-01-01,FALSE
17,Book,Book Title 17,Author 17,Publisher 7,9.78E+11,Series 2,4.9,Description for book 17,English,Fiction,2017-01-01,TRUE
18,Book,Book Title 18,Author 18,Publisher 8,9.78E+11,Series 3,4.9,Description for book 18,English,Fantasy,2018-01-01,TRUE
19,Book,Book Title 19,Author 19,Publisher 9,9.78E+11,Series 4,4.9,Description for book 19,English,Fiction,2019-01-01,TRUE
20,Book,Book Title 20,Author 20,Publisher 0,9.78E+11,Series 0,4.4,Description for book 20,English,Sci-Fi,2000-01-01,FALSE
21,Book,Book Title 21,Author 21,Publisher 1,9.78E+11,Series 1,3.5,Description for book 21,English,Education,2001-01-01,TRUE
22,Book,Book Title 22,Author 22,Publisher 2,9.78E+11,Series 2,4.5,Description for book 22,English,Fantasy,2002-01-01,TRUE
