id,type,title,artist,genre,releaseDate,rating,available
100,CD,Album 100,Artist 0,Pop,2000-06-01,4.1,TRUE
101,CD,Album 101,Artist 1,Pop,2001-06-01,4.9,TRUE
102,CD,Album 102,Artist 2,Jazz,2002-06-01,4.9,FALSE
103,CD,Album 103,Artist 3,Jazz,2003-06-01,3.5,TRUE
104,CD,Album 104,Artist 4,Rock,2004-06-01,4,TRUE
105,CD,Album 105,Artist 5,Pop,2005-06-01,4.7,FALSE
106,CD,Album 106,Artist 6,Jazz,2006-06-01,5,TRUE
107,CD,Album 107,Artist 7,Rock,2007-06-01,4.4,TRUE
108,CD,Album 108,Artist 8,Pop,2008-06-01,4.5,FALSE
109,CD,Album 109,Artist 9,Jazz,2009-06-01,4.4,TRUE
110,CD,Album 110,Artist 0,Jazz,2010-06-01,4.9,TRUE
111,CD,Album 111,Artist 1,Rock,2011-06-01,3.6,FALSE
112,CD,Album 112,Artist 2,Jazz,2012-06-01,4.9,TRUE
113,CD,Album 113,Artist 3,Pop,2013-06-01,3.8,TRUE
114,CD,Album 114,Artist 4,Pop,2014-06-01,4.9,FALSE
115,CD,Album 115,Artist 5,Pop,2015-06-01,4,TRUE
116,CD,Album 116,Artist 6,Pop,2016-06-01,4.4,TRUE
117,CD,Album 117,Artist 7,Pop,2017-06-01,3.8,FALSE
118,CD,Album 118,Artist 8,Jazz,2018-06-01,3.7,TRUE
119,CD,Album 119,Artist 9,Rock,2019-06-01,4.8,TRUE
120,CD,Album 120,Artist 0,Jazz,1990-06-01,4.5,FALSE
121,CD,Album 121,Artist 1,Jazz,1991-06-01,4.6,TRUE
122,CD,Album 122,Artist 2,Rock,1992-06-01,4.4,TRUE
123,CD,Album 123,Artist 3,Rock,1993-06-01,4.4,FALSE
124,CD,Album 124,Artist 4,Rock,1994-06-01,5,TRUE
125,CD,Album 125,Artist 5,Jazz,1995-06-01,3.6,TRUE
126,CD,Album 126,Artist 6,Rock,1996-06-01,4.2,FALSE
127,CD,Album 127,Artist 7,Pop,1997-06-01,3.7,TRUE
128,CD,Album 128,Artist 8,Pop,1998-06-01,4.2,TRUE
129,CD,Album 129,Artist 9,Rock,1999-06-01,4,FALSE
130,CD,Album 130,Artist 0,Rock,2000-06-01,4.3,TRUE
131,CD,Album 131,Artist 1,Pop,2001-06-01,3.9,TRUE
132,CD,Album 132,Artist 2,Pop,2002-06-01,4.5,FALSE
133,CD,Album 133,Artist 3,Pop,2003-06-01,4.6,TRUE
134,CD,Album 134,Artist 4,Rock,2004-06-01,4.3,TRUE
135,CD,Album 135,Artist 5,Rock,2005-06-01,4.2,FALSE
136,CD,Album 136,Artist 6,Rock,2006-06-01,3.7,TRUE
137,CD,Album 137,Artist 7,Rock,2007-06-01,4.5,TRUE
138,CD,Album 138,Artist 8,Rock,2008-06-01,3.6,FALSE
139,CD,Album 139,Artist 9,Rock,2009-06-01,4.2,TRUE
140,CD,Album 140,Artist 0,Pop,2010-06-01,4.5,TRUE
141,CD,Album 141,Artist 1,Pop,2011-06-01,3.7,FALSE
142,CD,Album 142,Artist 2,Rock,2012-06-01,4,TRUE
143,CD,Album 143,Artist 3,Rock,2013-06-01,5,TRUE
144,CD,Album 144,Artist 4,Pop,2014-06-01,4.2,FALSE
145,CD,Album 145,Artist 5,Pop,2015-06-01,3.6,TRUE
146,CD,Album 146,Artist 6,Pop,2016-06-01,3.6,TRUE
147,CD,Album 147,Artist 7,Rock,2017-06-01,3.9,FALSE
148,CD,Album 148,Artist 8,Rock,2018-06-01,4.7,TRUE
149,CD,Album 149,Artist 9,Pop,2019-06-01,4.4,TRUE
