loanID,customerID,itemID,loanDate,returnDate
5001,1008,201,2025-12-03,2025-12-10
5002,1015,102,2025-12-13,
5003,1025,142,2025-12-09,2025-12-09
5004,1020,23,2025-11-22,
5005,1027,40,2025-12-10,2025-12-13
5006,1025,108,2025-11-22,
5007,1009,225,2025-11-30,2025-12-08
5008,1007,149,2025-11-23,
5009,1019,43,2025-11-26,2025-12-09
5010,1018,29,2025-11-23,
5011,1019,131,2025-12-06,2025-12-06
5012,1002,34,2025-11-28,
5013,1025,17,2025-11-29,2025-12-07
5014,1006,117,2025-12-13,
5015,1003,217,2025-11-16,2025-12-08
5016,1022,205,2025-11-21,
5017,1008,144,2025-12-07,2025-12-11
5018,1011,105,2025-11-24,
5019,1001,12,2025-11-19,2025-12-14
5020,1013,216,2025-11-23,
5021,1006,148,2025-12-04,2025-12-13
5022,1015,204,2025-12-07,
5023,1021,42,2025-11-15,2025-12-09
5024,1011,203,2025-12-09,
5025,1007,136,2025-11-20,2025-12-08
5026,1015,136,2025-12-04,
5027,1023,42,2025-12-11,2025-12-14
5028,1004,115,2025-11-28,
5029,1028,130,2025-11-30,2025-12-07
5030,1001,15,2025-11-21,
