AUTHOR,AVAILABLE,BORROWDATE,BORROWERID,DESCRIPTION,GENRE,ID,ISBN,LANGUAGE,PUBLISHER,RATING,RELEASEDATE,SERIES,TITLE,TYPE
Author 1,TRUE,,,Description for book 1,Sci-Fi,1,"""978000000001""",English,Publisher 1,4.6,2001-01-01,Series 1,Book Title 1,Book
Author 2,TRUE,,,Description for book 2,Fantasy,2,9.78E+11,English,Publisher 2,3.5,2002-01-01,Series 2,Book Title 2,Book
Author 3,TRUE,,,Description for book 3,Fiction,3,9.78E+11,English,Publisher 3,4,2003-01-01,Series 3,Book Title 3,Book
Author 4,FALSE,,,Description for book 4,Education,4,9.78E+11,English,Publisher 4,4.1,2004-01-01,Series 4,Book Title 4,Book
Author 5,TRUE,,,Description for book 5,Education,5,9.78E+11,English,Publisher 5,4,2005-01-01,Series 0,Book Title 5,Book
Author 6,TRUE,,,Description for book 6,Education,6,9.78E+11,English,Publisher 6,4.6,2006-01-01,Series 1,Book Title 6,Book
Author 7,TRUE,,,Description for book 7,Fiction,7,9.78E+11,English,Publisher 7,3.7,2007-01-01,Series 2,Book Title 7,Book
Author 8,FALSE,,,Description for book 8,Fiction,8,9.78E+11,English,Publisher 8,3.6,2008-01-01,Series 3,Book Title 8,Book
Author 9,TRUE,,,Description for book 9,Education,9,9.78E+11,English,Publisher 9,3.7,2009-01-01,Series 4,Book Title 9,Book
Author 10,TRUE,,,Description for book 10,Sci-Fi,10,9.78E+11,English,Publisher 0,4.8,2010-01-01,Series 0,Book Title 10,Book
Author 11,TRUE,,,Description for book 11,Fiction,11,9.78E+11,English,Publisher 1,4.9,2011-01-01,Series 1,Book Title 11,Book
Author 12,FALSE,,,Description for book 12,Fiction,12,9.78E+11,English,Publisher 2,4.2,2012-01-01,Series 2,Book Title 12,Book
Author 13,TRUE,,,Description for book 13,Fantasy,13,9.78E+11,English,Publisher 3,4.8,2013-01-01,Series 3,Book Title 13,Book
Author 14,TRUE,,,Description for book 14,Fantasy,14,9.78E+11,English,Publisher 4,4.7,2014-01-01,Series 4,Book Title 14,Book
Author 15,TRUE,,,Description for book 15,Fantasy,15,9.78E+11,English,Publisher 5,4.6,2015-01-01,Series 0,Book Title 15,Book
Author 16,FALSE,,,Description for book 16,Fantasy,16,9.78E+11,English,Publisher 6,4.8,2016-01-01,Series 1,Book Title 16,Book
Author 17,TRUE,,,Description for book 17,Fiction,17,9.78E+11,English,Publisher 7,4.9,2017-01-01,Series 2,Book Title 17,Book
Author 18,TRUE,,,Description for book 18,Fantasy,18,9.78E+11,English,Publisher 8,4.9,2018-01-01,Series 3,Book Title 18,Book
Author 19,TRUE,,,Description for book 19,Fiction,19,9.78E+11,English,Publisher 9,4.9,2019-01-01,Series 4,Book Title 19,Book
Author 20,FALSE,,,Description for book 20,Sci-Fi,20,9.78E+11,English,Publisher 0,4.4,2000-01-01,Series 0,Book Title 20,Book
Author 21,TRUE,,,Description for book 21,Education,21,9.78E+11,English,Publisher 1,3.5,2001-01-01,Series 1,Book Title 21,Book
Author 22,TRUE,,,Description for book 22,Fantasy,22,9.78E+11,English,Publisher 2,4.5,2002-01-01,Series 2,Book Title 22,Book
Author 23,TRUE,,,Description for book 23,Sci-Fi,23,9.78E+11,English,Publisher 3,3.7,2003-01-01,Series 3,Book Title 23,Book
Author 24,FALSE,,,Description for book 24,Fantasy,24,9.78E+11,English,Publisher 4,5,2004-01-01,Series 4,Book Title 24,Book
Author 25,TRUE,,,Description for book 25,Fantasy,25,9.78E+11,English,Publisher 5,3.7,2005-01-01,Series 0,Book Title 25,Book
Author 26,TRUE,,,Description for book 26,Education,26,9.78E+11,English,Publisher 6,3.6,2006-01-01,Series 1,Book Title 26,Book
Author 27,TRUE,,,Description for book 27,Fantasy,27,9.78E+11,English,Publisher 7,4.5,2007-01-01,Series 2,Book Title 27,Book
Author 28,FALSE,,,Description for book 28,Sci-Fi,28,9.78E+11,English,Publisher 8,4,2008-01-01,Series 3,Book Title 28,Book
Author 29,TRUE,,,Description for book 29,Fantasy,29,9.78E+11,English,Publisher 9,4.5,2009-01-01,Series 4,Book Title 29,Book
Author 30,TRUE,,,Description for book 30,Fiction,30,9.78E+11,English,Publisher 0,4.3,2010-01-01,Series 0,Book Title 30,Book
Author 31,TRUE,,,Description for book 31,Sci-Fi,31,9.78E+11,English,Publisher 1,4.7,2011-01-01,Series 1,Book Title 31,Book
Author 32,FALSE,,,Description for book 32,Fiction,32,9.78E+11,English,Publisher 2,4.3,2012-01-01,Series 2,Book Title 32,Book
Author 33,TRUE,,,Description for book 33,Fantasy,33,9.78E+11,English,Publisher 3,4.6,2013-01-01,Series 3,Book Title 33,Book
Author 34,TRUE,,,Description for book 34,Fantasy,34,9.78E+11,English,Publisher 4,5,2014-01-01,Series 4,Book Title 34,Book
Author 35,TRUE,,,Description for book 35,Fantasy,35,9.78E+11,English,Publisher 5,4.7,2015-01-01,Series 0,Book Title 35,Book
Author 36,FALSE,,,Description for book 36,Fiction,36,9.78E+11,English,Publisher 6,3.6,2016-01-01,Series 1,Book Title 36,Book
Author 37,TRUE,,,Description for book 37,Sci-Fi,37,9.78E+11,English,Publisher 7,4.6,2017-01-01,Series 2,Book Title 37,Book
