"ARTIST","AVAILABLE","BORROWDATE","BORROWERID","GENRE","ID","RATING","RELEASEDATE","TITLE","TYPE"
"Artist 0","true","","","Pop","100","4.1","2000-06-01","Album 100","CD"
"Artist 1","true","","","Pop","101","4.9","2001-06-01","Album 101","CD"
"Artist 2","false","","","Jazz","102","4.9","2002-06-01","Album 102","CD"
"Artist 3","true","","","Jazz","103","3.5","2003-06-01","Album 103","CD"
"Artist 4","true","","","Rock","104","4.0","2004-06-01","Album 104","CD"
"Artist 5","false","","","Pop","105","4.7","2005-06-01","Album 105","CD"
"Artist 6","true","","","Jazz","106","5.0","2006-06-01","Album 106","CD"
"Artist 7","true","","","Rock","107","4.4","2007-06-01","Album 107","CD"
"Artist 8","false","","","Pop","108","4.5","2008-06-01","Album 108","CD"
"Artist 9","true","","","Jazz","109","4.4","2009-06-01","Album 109","CD"
"Artist 0","true","","","Jazz","110","4.9","2010-06-01","Album 110","CD"
"Artist 1","false","","","Rock","111","3.6","2011-06-01","Album 111","CD"
"Artist 2","true","","","Jazz","112","4.9","2012-06-01","Album 112","CD"
"Artist 3","true","","","Pop","113","3.8","2013-06-01","Album 113","CD"
"Artist 4","false","","","Pop","114","4.9","2014-06-01","Album 114","CD"
"Artist 5","true","","","Pop","115","4.0","2015-06-01","Album 115","CD"
"Artist 6","true","","","Pop","116","4.4","2016-06-01","Album 116","CD"
"Artist 7","false","","","Pop","117","3.8","2017-06-01","Album 117","CD"
"Artist 8","true","","","Jazz","118","3.7","2018-06-01","Album 118","CD"
"Artist 9","true","","","Rock","119","4.8","2019-06-01","Album 119","CD"
"Artist 0","false","","","Jazz","120","4.5","1990-06-01","Album 120","CD"
"Artist 1","true","","","Jazz","121","4.6","1991-06-01","Album 121","CD"
"Artist 2","true","","","Rock","122","4.4","1992-06-01","Album 122","CD"
"Artist 3","false","","","Rock","123","4.4","1993-06-01","Album 123","CD"
"Artist 4","true","","","Rock","124","5.0","1994-06-01","Album 124","CD"
"Artist 5","true","","","Jazz","125","3.6","1995-06-01","Album 125","CD"
"Artist 6","false","","","Rock","126","4.2","1996-06-01","Album 126","CD"
"Artist 7","true","","","Pop","127","3.7","1997-06-01","Album 127","CD"
"Artist 8","true","","","Pop","128","4.2","1998-06-01","Album 128","CD"
"Artist 9","false","","","Rock","129","4.0","1999-06-01","Album 129","CD"
"Artist 0","true","","","Rock","130","4.3","2000-06-01","Album 130","CD"
"Artist 1","true","","","Pop","131","3.9","2001-06-01","Album 131","CD"
"Artist 2","false","","","Pop","132","4.5","2002-06-01","Album 132","CD"
"Artist 3","true","","","Pop","133","4.6","2003-06-01","Album 133","CD"
"Artist 4","true","","","Rock","134","4.3","2004-06-01","Album 134","CD"
"Artist 5","false","","","Rock","135","4.2","2005-06-01","Album 135","CD"
"Artist 6","true","","","Rock","136","3.7","2006-06-01","Album 136","CD"
"Artist 7","true","","","Rock","137","4.5","2007-06-01","Album 137","CD"
"Artist 8","false","","","Rock","138","3.6","2008-06-01","Album 138","CD"
"Artist 9","true","","","Rock","139","4.2","2009-06-01","Album 139","CD"
"Artist 0","true","","","Pop","140","4.5","2010-06-01","Album 140","CD"
"Artist 1","false","","","Pop","141","3.7","2011-06-01","Album 141","CD"
"Artist 2","true","","","Rock","142","4.0","2012-06-01","Album 142","CD"
"Artist 3","true","","","Rock","143","5.0","2013-06-01","Album 143","CD"
"Artist 4","false","","","Pop","144","4.2","2014-06-01","Album 144","CD"
"Artist 5","true","","","Pop","145","3.6","2015-06-01","Album 145","CD"
"Artist 6","true","","","Pop","146","3.6","2016-06-01","Album 146","CD"
"Artist 7","false","","","Rock","147","3.9","2017-06-01","Album 147","CD"
"Artist 8","true","","","Rock","148","4.7","2018-06-01","Album 148","CD"
"Artist 9","true","","","Pop","149","4.4","2019-06-01","Album 149","CD"
