"AVAILABLE","BORROWDATE","BORROWERID","BRAND","ID","MODEL","OPERATINGSYSTEM","RELEASEDATE","SERIALNUMBER","TYPE"
"true","","","HP","201","Model-1","Ubuntu Linux","2016-06-01","SN-100001","Laptop"
"true","","","HP","202","Model-2","macOS","2017-06-01","SN-100002","Laptop"
"true","","","HP","203","Model-3","Ubuntu Linux","2018-06-01","SN-100003","Laptop"
"false","","","Lenovo","204","Model-4","Ubuntu Linux","2019-06-01","SN-100004","Laptop"
"true","","","Asus","205","Model-5","Ubuntu Linux","2020-06-01","SN-100005","Laptop"
"true","","","Asus","206","Model-6","Ubuntu Linux","2021-06-01","SN-100006","Laptop"
"true","","","Lenovo","207","Model-7","Ubuntu Linux","2022-06-01","SN-100007","Laptop"
"false","","","Dell","208","Model-8","macOS","2015-06-01","SN-100008","Laptop"
"true","","","Asus","209","Model-9","Windows 11","2016-06-01","SN-100009","Laptop"
"true","","","Apple","210","Model-10","macOS","2017-06-01","SN-100010","Laptop"
"true","","","Lenovo","211","Model-11","Windows 11","2018-06-01","SN-100011","Laptop"
"false","","","Lenovo","212","Model-12","Windows 11","2019-06-01","SN-100012","Laptop"
"true","","","Asus","213","Model-13","macOS","2020-06-01","SN-100013","Laptop"
"true","","","Dell","214","Model-14","Windows 11","2021-06-01","SN-100014","Laptop"
"true","","","HP","215","Model-15","Windows 11","2022-06-01","SN-100015","Laptop"
"false","","","Lenovo","216","Model-16","macOS","2015-06-01","SN-100016","Laptop"
"true","","","Asus","217","Model-17","Windows 11","2016-06-01","SN-100017","Laptop"
"true","","","Asus","218","Model-18","Ubuntu Linux","2017-06-01","SN-100018","Laptop"
"true","","","Dell","219","Model-19","Windows 11","2018-06-01","SN-100019","Laptop"
"false","","","HP","220","Model-20","Ubuntu Linux","2019-06-01","SN-100020","Laptop"
"true","","","HP","221","Model-21","macOS","2020-06-01","SN-100021","Laptop"
"true","","","Lenovo","222","Model-22","Windows 11","2021-06-01","SN-100022","Laptop"
"true","","","HP","223","Model-23","Windows 11","2022-06-01","SN-100023","Laptop"
"false","","","Apple","224","Model-24","Windows 11","2015-06-01","SN-100024","Laptop"
"true","","","HP","225","Model-25","macOS","2016-06-01","SN-100025","Laptop"
"true","","","HP","226","Model-26","Windows 11","2017-06-01","SN-100026","Laptop"
"true","","","Asus","227","Model-27","macOS","2018-06-01","SN-100027","Laptop"
"false","","","Apple","228","Model-28","Windows 11","2019-06-01","SN-100028","Laptop"
"true","","","HP","229","Model-29","Windows 11","2020-06-01","SN-100029","Laptop"
"true","","","Apple","230","Model-30","Windows 11","2021-06-01","SN-100030","Laptop"
"true","","","Apple","231","Model-31","macOS","2022-06-01","SN-100031","Laptop"
"false","","","Asus","232","Model-32","Ubuntu Linux","2015-06-01","SN-100032","Laptop"
"true","","","Apple","233","Model-33","Windows 11","2016-06-01","SN-100033","Laptop"
"true","","","Apple","234","Model-34","macOS","2017-06-01","SN-100034","Laptop"
"true","","","Apple","235","Model-35","Ubuntu Linux","2018-06-01","SN-100035","Laptop"
"false","","","Asus","236","Model-36","Windows 11","2019-06-01","SN-100036","Laptop"
"true","","","HP","237","Model-37","Ubuntu Linux","2020-06-01","SN-100037","Laptop"
"true","","","Lenovo","238","Model-38","Windows 11","2021-06-01","SN-100038","Laptop"
"true","","","Apple","239","Model-39","Ubuntu Linux","2022-06-01","SN-100039","Laptop"
"false","","","HP","240","Model-40","macOS","2015-06-01","SN-100040","Laptop"
