"CUSTOMERID","FINE","ITEMID","LOANDATE","LOANID","RETURNDATE"
"1008","0.0","201","2025-12-03","5001","2025-12-10"
"1015","0.0","102","2025-12-13","5002",""
"1025","0.0","142","2025-12-09","5003","2025-12-09"
"1020","0.0","23","2025-11-22","5004",""
"1027","0.0","40","2025-12-10","5005","2025-12-13"
"1025","0.0","108","2025-11-22","5006",""
"1009","0.0","225","2025-11-30","5007","2025-12-08"
"1007","0.0","149","2025-11-23","5008",""
"1019","0.0","43","2025-11-26","5009","2025-12-09"
"1018","0.0","29","2025-11-23","5010",""
"1019","0.0","131","2025-12-06","5011","2025-12-06"
"1002","0.0","34","2025-11-28","5012",""
"1025","0.0","17","2025-11-29","5013","2025-12-07"
"1006","0.0","117","2025-12-13","5014",""
"1003","0.0","217","2025-11-16","5015","2025-12-08"
"1022","0.0","205","2025-11-21","5016",""
"1008","0.0","144","2025-12-07","5017","2025-12-11"
"1011","0.0","105","2025-11-24","5018",""
"1001","0.0","12","2025-11-19","5019","2025-12-14"
"1013","0.0","216","2025-11-23","5020",""
"1006","0.0","148","2025-12-04","5021","2025-12-13"
"1015","0.0","204","2025-12-07","5022",""
"1021","0.0","42","2025-11-15","5023","2025-12-09"
"1011","0.0","203","2025-12-09","5024",""
"1007","0.0","136","2025-11-20","5025","2025-12-08"
"1015","0.0","136","2025-12-04","5026",""
"1023","0.0","42","2025-12-11","5027","2025-12-14"
"1004","0.0","115","2025-11-28","5028",""
"1028","0.0","130","2025-11-30","5029","2025-12-07"
"1001","0.0","15","2025-11-21","5030",""
